x,y,type
6,1,body
7,1,body
8,1,body
9,1,body
5,2,body
6,2,body
7,2,body
8,2,body
9,2,body
10,2,body
4,3,body
5,3,body
6,3,body
7,3,body
8,3,body
9,3,body
10,3,body
11,3,body
3,4,body
4,4,body
5,4,body
6,4,body
7,4,body
8,4,body
9,4,body
10,4,body
11,4,body
12,4,body
2,5,body
3,5,body
4,5,body
5,5,body
6,5,body
7,5,body
8,5,body
9,5,body
10,5,body
11,5,body
12,5,body
13,5,body
2,6,body
3,6,body
4,6,eye_white
5,6,eye_white
6,6,body
7,6,body
8,6,body
9,6,body
10,6,eye_white
11,6,eye_white
12,6,body
13,6,body
2,7,body
3,7,body
4,7,eye_white
5,7,pupil
6,7,body
7,7,body
8,7,body
9,7,body
10,7,eye_white
11,7,pupil
12,7,body
13,7,body
2,8,body
3,8,body
4,8,eye_white
5,8,pupil
6,8,body
7,8,body
8,8,body
9,8,body
10,8,eye_white
11,8,pupil
12,8,body
13,8,body
2,9,body
3,9,body
4,9,body
5,9,body
6,9,body
7,9,body
8,9,body
9,9,body
10,9,body
11,9,body
12,9,body
13,9,body
2,10,body
3,10,body
4,10,body
5,10,body
6,10,body
7,10,body
8,10,body
9,10,body
10,10,body
11,10,body
12,10,body
13,10,body
2,11,body
3,11,body
4,11,body
5,11,body
6,11,body
7,11,body
8,11,body
9,11,body
10,11,body
11,11,body
12,11,body
13,11,body
2,12,body
3,12,body
4,12,body
5,12,body
6,12,body
7,12,body
8,12,body
9,12,body
10,12,body
11,12,body
12,12,body
13,12,body
2,13,body
3,13,body
4,13,body
5,13,body
6,13,body
7,13,body
8,13,body
9,13,body
10,13,body
11,13,body
12,13,body
13,13,body
2,14,body
3,14,body
4,14,body
6,14,body
7,14,body
8,14,body
10,14,body
11,14,body
12,14,body
2,15,body
3,15,body
4,15,body
7,15,body
8,15,body
9,15,body
11,15,body
12,15,body
13,15,body
